No,Date,PIC,Business Unit,Projects/Events,Venue,Start Date,End Date
1.0,5 - 7 Jan,Kenny,Consumer & Retail,Sales Kick Off,"Club Med, Cherating",2022-01-05,2022-01-07
2.0,10 - 12 Jan,Kenny,Wholesale,Sales Kick Off,"Club Med, Cherating",2022-01-10,2022-01-12
3.0,2022-01-20 00:00:00,Isra,Enterprise,Southern Webinar - Accelerating Digital Transformation with TIME,Virtual - Zoom,2022-01-20,2022-01-20
4.0,2022-01-25 00:00:00,Isra,Public Sector,Digital Government Smart Citizen Forum,"Le Meridien Hotel, Putrajaya",2022-01-25,2022-01-25
5.0,21 Feb  - 03 March,Kenny,Wholesale,Appricot (Passes),Virtual,2022-02-21,2022-03-03
6.0,2022-03-20 00:00:00,Esther,Public Sector,Friendly Golf with KDN,Palm Garden Golf Club,2022-03-20,2022-03-20
7.0,2022-03-21 00:00:00,Esther,Public Sector,Technology Update with KDN,Putrajaya Marriott Hotel,2022-03-21,2022-03-21
8.0,29 -30 March,Kenny,Global,Capacity Middle East (Meeting room & Passes),Dubai,2022-03-29,2022-03-30
9.0,09 -12 May,Kenny,Global,International Telecoms Week 2022 (Meeting Room & Passes),"WD, USD",2022-05-09,2022-05-12
10.0,09 - 12 May,Kenny,Wholesale,International Telecoms Week 2022 (Passes),"WD, USD",2022-05-09,2022-05-12
11.0,2022-05-24 00:00:00,Kenny,Wholesale,Raya Open House,De.Wan 1958 by Chef Wan @ The Linc KL,2022-05-24,2022-05-24
12.0,2022-05-25 00:00:00,Esther,Enterprise & Public Sector,Enterprise & Public Sector Raya Open House,De.Wan 1958 by Chef Wan @ The Linc KL,2022-05-25,2022-05-25
13.0,25 - 27 May,Kenny,Global,Sales Kick Off,PD Lexis,2022-05-25,2022-05-27
14.0,2022-05-26 00:00:00,Kenny,Retail,Digital Masterclass Webinar Series 1 (Tik Tok),Virtual - Zoom,2022-05-26,2022-05-26
15.0,8 - 11 June,Kenny,Consumer,TIME X HyperGram Landscape Series Vs3 Activation in Malaysia,Sunway Pyramid,2022-06-08,2022-06-11
16.0,2022-06-21 00:00:00,Esther,Enterprise,Achieve Greater Heights with Westcon and TIME dotCom's MSSP Cloud offerings,The RuMa Hotel & Residence,2022-06-21,2022-06-21
17.0,2022-06-23 00:00:00,Kenny,Retail,Digital Masterclass Webinar Series 2 (Shopee),Virtual - Zoom,2022-06-23,2022-06-23
18.0,2022-07-01 00:00:00,Esther,Enterprise,Northern Appreciation Night - Rock Out with TIME,Loft 29,2022-07-01,2022-07-01
19.0,2022-07-21 00:00:00,Kenny,Retail,Digital Masterclass Webinar Series 3 (TikTok),Virtual - Zoom,2022-07-21,2022-07-21
20.0,2022-07-14 00:00:00,Kenny,Retail,TIME X Malaysia International Retail & Franchise Exhibition 2022,KLCC,2022-07-14,2022-07-14
21.0,2022-07-15 00:00:00,Esther,Enterprise,PahangGO x TIME MOU Signing Ceremony,Putrajaya Marriott Hotel,2022-07-15,2022-07-15
22.0,2022-07-18 00:00:00,Kenny,Retail,Mid Year Dealer Appreciation Dinner | Kabel Besar Kings ,Pavilion Hotel,2022-07-18,2022-07-18
23.0,17 - 21 Aug,Kenny,Consumer,TIME x KL Fahsion Week 2022,Pavilion KL,2022-08-17,2022-08-21
24.0,2022-08-25 00:00:00,Kenny,Retail,Digital Masterclass Webinar Series 4 (Shopee),Virtual - Zoom,2022-08-25,2022-08-25
25.0,07 - 08 Sep,Kenny,Wholesale,25th Submarine Network World (Passes),Singapore,2022-09-07,2022-09-08
26.0,2022-09-08 00:00:00,Kenny,Wholesale,U Mobile Corporate Golf Tournament 2022 (Sponsorship),KLGCC,2022-09-08,2022-09-08
27.0,13 - 15 Sep,Esther,Enterprise & Public Sector,WCIT 2022,"SETIA SPICE Convention Centre, Penang",2022-09-13,2022-09-15
28.0,14 - 18 Sep,Kenny,Consumer,TIME x PG TechFest 2022,"SETIA SPICE Arena, Penang",2022-09-14,2022-09-18
29.0,2022-09-19 00:00:00,Isra,AIMS,MYNOG-9 Conference 2022 (Gold Sponsorship),"VECC, Bangsar",2022-09-19,2022-09-19
30.0,19 - 23 Sep,Kenny,Global,Asian Carrier Conference 2022 (Meeting room & passes),"Boracay Island, PH",2022-09-19,2022-09-23
31.0,19 - 23 Sep,Kenny,Wholesale,Asian Carrier Conference 2022 (passes),"Boracay Island, PH",2022-09-19,2022-09-23
32.0,20 - 23 Sep,Kenny,Global & Wholesale,BATIC 2022 (passes),Hilton Bali Resort Nusa,2022-09-20,2022-09-23
35.0,2022-09-22 00:00:00,Esther,Enterprise,Southern Manufacturing Event,"Opero Hotel, JB",2022-09-22,2022-09-22
36.0,2022-09-22 00:00:00,Kenny,Retail,Digital Masterclass Webinar Series 5 (SushiVID),Virtual - Zoom,2022-09-22,2022-09-22
37.0,2022-09-20 00:00:00,Esther,Public Sector,MOU Signing with CDCi,"Hilton, PJ",2022-09-20,2022-09-20
38.0,2022-09-22 00:00:00,Esther,Public Sector,Puspanita Visit,"TIME, Glenmarie",2022-09-22,2022-09-22
39.0,27 - 29 September,Esther,Enterprise & Public Sector,Smart Nation 2022,"MITEC, Kuala Lumpur",2022-09-27,2022-09-29
40.0,21-23 Oct,Kenny,Consumer,2Gb Activation - Publika,Publika,2022-10-21,2022-10-23
41.0,2022-11-25 00:00:00,Kenny,Wholesale,ASP Customer Appreciation Gathering,Marble 8,2022-11-25,2022-11-25
42.0,2022-11-29 00:00:00,Kenny,Wholesale,Converge Infra Customer Appreciation Gathering,Marble 8,2022-11-29,2022-11-29
43.0,25 - 27 Nov,Kenny,Consumer,2Gb Activation - MyTOWN,MyTOWN,2022-11-25,2022-11-27
44.0,17 - 20 Oct,Kenny,Global & Wholesale,Capacity Europe (Meeting room & passes),"InterContinental London, UK",2022-10-17,2022-10-20
45.0,2022-10-14 00:00:00,Esther,Enterprise,Embracing Modern Technology in Building a Better Future for Malaysian Construction Industry (MBAM),"Romani Restaurant, Avante Hotel",2022-10-14,2022-10-14
46.0,2022-10-20 00:00:00,Kenny,Retail,Digital Masterclass Webinar Series 6 (Google),Virtual - Zoom,2022-10-20,2022-10-20
47.0,2022-10-27 00:00:00,Kenny,Retail,Digital Masterclass Webinar Series 7 (Shopline),Virtual - Zoom,2022-10-27,2022-10-27
48.0,2022-10-28 00:00:00,Esther,Public Sector,TIME Movie Day - SUK Kedah,GSC Aman Central,2022-10-28,2022-10-28
49.0,2 - 3 Nov,Kenny,Global & Wholesale,TWA 2022 (Meeting room & Passes),Bangkok Convention Centre,2022-11-02,2022-11-03
50.0,2 - 3 Nov,Isra,OTT,Peering Asia 4.0 ,Bangkok Convention Centre,2022-11-02,2022-11-03
51.0,2022-11-03 00:00:00,Esther,Public Sector,MOGEC Webinar,Virtual - Ms. Teams,2022-11-03,2022-11-03
52.0,2022-11-04 00:00:00,Kenny,Wholesale,Roll to the Hole 3.0,"RT Golf Club, Bangkok ",2022-11-04,2022-11-04
53.0,2022-11-24 00:00:00,Kenny,Retail,Digital Masterclass Webinar Series 8 (Google),Virtual - Zoom,2022-11-24,2022-11-24
54.0,2022-11-24 00:00:00,Esther,Enterprise,FSI: Forge Ahead & Accelerate Digitalisation with TIME's 3Cs,"Ebisu at Altitude, Banyan Tree KL",2022-11-24,2022-11-24
55.0,30 Nov - 1 Dec,Kenny,Global & Wholesale,Capacity Asia 2022 (Meeting room & Passes),"Marina Bay Sands, SG",2022-11-30,2022-12-01
56.0,15 - 18 Jan 2023,Kenny,Global & Wholesale,PTC 2023 (Meeting room & Passes),"Honolulu, Hawaii USA",2022-01-15,2023-01-18
1.0,2023-01-13 00:00:00,Esther,Enterprise & Public Sector,Chinese New Year Celebration Dinner,Noble Mansion,2023-01-13,2023-01-13
2.0,15 - 18 Jan,Kenny,Wholesale/ASEAN & GLOBAL,PTC 2023 (Meeting Room & Passes Arragement),Hilton Hawaiian Village,2023-01-15,2023-01-18
3.0,2023-02-03 00:00:00,Esther,Enterprise,Southern Chinese New Year Dinner,Renaissance Hotel JB,2023-02-03,2023-02-03
4.0,2023-02-03 00:00:00,Kenny,Retail,Dealer Chinese New Year Dinner,St Regist KL,2023-02-03,2023-02-03
5.0,2023-02-04 00:00:00,Kenny,Business Operations,SI Chinese New Year Dinner,St Regist KL,2023-02-04,2023-02-04
6.0,2023-02-15 00:00:00,Isra,Corporate,Extraordinary General Meeting,TIME dotCom,2023-02-15,2023-02-15
7.0,16 - 18 Feb ,Isra,Enterprise & Public Sector,Sales Kick-Off 2023 ,The Stones Legian - Bali,2023-02-16,2023-02-18
8.0,16 - 18 Feb ,Kenny,Global & Wholesale,Sales Kick-Off 2023 ,The Stones Legian - Bali,2023-02-16,2023-02-18
9.0,1 - 3 March,Kenny,Retail,Sales Kick-Off 2023 ,The Stones Legian - Bali,2023-03-01,2023-03-03
10.0,1 - 2 March,Esther,Public Sector,PBT ICT Technology Talk - Booth Exibition,Dewan Sivik MBPJ,2023-03-01,2023-03-02
11.0,2023-03-03 00:00:00,Esther,Enterprise,Northern Appreciation Dinner,32 Mansion,2023-03-03,2023-03-03
12.0,6-9 March,Kenny,Wholesale/ASEAN & GLOBAL,Capacity Middle East 2023  (Meeting Room & Passes Arragement),Grand Hyatt Dubai,2023-03-06,2023-03-09
13.0,15-17 March,Sabrina,Retail (SME),EO Taipan Masterclass 2023,Hilton Kuala Lumpur,2023-03-15,2023-03-17
15.0,2023-04-14 00:00:00,Isra,Corporate,Majlis Pelancaran Pakej MyKabel PPR/PA @ Kerinchi,PPR Kerinchi,2023-04-14,2023-04-14
16.0,2023-04-18 00:00:00,Sabrina,Retail (SME),CTOS Biz Day 2023,Grand Ballroom Nexus Bangsar,2023-04-18,2023-04-18
17.0,2023-05-08 00:00:00,Kenny,AIMS,Cyberjaya DC (Block 1) Launch,AIMS DC Cyberjaya,2023-05-08,2023-05-08
18.0,9-10 May,Sabrina,Retail (SME),SME Summit Growth 2023,Avante Hotel. PJ,2023-05-09,2023-05-10
19.0,2023-05-11 00:00:00,Esther,Enterprise & Public Sector,Central Raya Open House ,Majestic Hotel Kuala Lumpur,2023-05-11,2023-05-11
20.0,2023-05-11 00:00:00,Kenny,Wholesale,Wholesale Raya Open House ,Majestic Hotel Kuala Lumpur,2023-05-11,2023-05-11
21.0,2023-05-18 00:00:00,Esther,Enterprise & Public Sector,Southern Raya Open House ,DoubleTree by Hilton JB,2023-05-18,2023-05-18
22.0,2023-05-15 00:00:00,Sabrina,Retail,Visioning Workshop,Avante Hotel. PJ,2023-05-15,2023-05-15
23.0,14 - 17 May,Kenny,Wholesale/ASEAN & GLOBAL,ITW 2023  (Meeting Room & Passes Arragement),"Gaylord National Resort & Convention Center National Harbor, MD (USA)",2023-05-14,2023-05-17
24.0,2023-05-24 00:00:00,Esther,Public Sector,"Shaping the Education Landscape: Tomorrow's Universities, Today",Cyberview Resort & Spa,2023-05-24,2023-05-24
25.0,25-28 May,Sabrina,Retail (Consumer),Mall Activations - The Waterfront @ Desa Park City,The Waterfront @ Desa Park City,2023-05-25,2023-05-28
26.0,7 - 9 June ,Kenny,Wholesale/ASEAN & GLOBAL,Communic Asia 2023,Singapore Expo,2023-06-07,2023-06-09
27.0,12 - 14 June,Esther,Public Sector,Johor Smart City Forum 2023,Persada Johor,2023-06-12,2023-06-14
28.0,2023-06-13 00:00:00,Sabrina,Enterprise,MATRADE Digital Trade Platfrom 2023 - Launch,MITEC,2023-06-13,2023-06-13
29.0,2023-06-14 00:00:00,Kenny,AIMS,MYNOG 2023,"The Vertical, Connection Nexus",2023-06-14,2023-06-14
30.0,2023-06-15 00:00:00,Isra,Corporate,AGM & EGM 2023,TIME dotCom,2023-06-15,2023-06-15
31.0,2023-06-24 00:00:00,Sabrina,Retail (Consumer),2Gbps Building Roadshow - Cantara Residences,Cantara Residences,2023-06-24,2023-06-24
32.0,10 - 14 July,Kenny,Wholesale (ASEAN),PHNOG,"Manila, Philippines",2023-07-10,2023-07-14
33.0,2023-07-22 00:00:00,Esther,Public Sector,Time Family Movie Day,GSC Paradigm Mall,2023-07-22,2023-07-22
34.0,24 - 27 July,Kenny,Wholesale (ASEAN),IDNOG,"Jakarta, Indonesia",2023-07-24,2023-07-27
35.0,2023-07-27 00:00:00,Sabrina,Retail (SME),Time Digital Masterclass - Virtual : Series 1,Plaza Mont Kiara Studio,2023-07-27,2023-07-27
36.0,29 - 30 July,Sabrina,Retail (Consumer),Dota Mastercup SEA 2023,Pavilion Bukit Jalil,2023-07-29,2023-07-30
37.0,2023-08-02 00:00:00,Kenny,Corporate,Deputy Minister (KKD) Visit,TIME dotCom,2023-08-02,2023-08-02
38.0,2023-08-10 00:00:00,Esther,Enterprise,ACCCIM Tech Conference - AI Unplugged 2023,"St. Regis, Kuala Lumpur",2023-08-10,2023-08-10
39.0,2023-08-11 00:00:00,Esther,Public Sector,Golf Par-Tee,"MST Arena, The Gardens Mall",2023-08-11,2023-08-11
40.0,2023-08-24 00:00:00,Sabrina,Retail (SME),Time Digital Masterclass - Virtual : Series 2,Plaza Mont Kiara Studio,2023-08-24,2023-08-24
41.0,2023-08-31 00:00:00,Kenny,Corporate,Sambutan Hari Kebangsaan,Dataran Putrajaya,2023-08-31,2023-08-31
42.0,5 - 8 Sep,Kenny,Wholesale (ASEAN),Bali Annual Telkom International Conference,"Bali, Indonesia",2023-09-05,2023-09-08
43.0,2023-09-07 00:00:00,Esther,Enterprise (NR),Northern Technology Update,G Kelawai Hotel,2023-09-07,2023-09-07
44.0,11 - 15 Sep,Kenny,Wholesale (ASEAN & Global),Asian Carriers Conference 2023,"Shangri-La Mactan, Cebu",2023-09-11,2023-09-15
45.0,13 - 15 Sep,Esther,Public Sector,Oil & Gas Asia 2023,Kuala Lumpur Convention Centre,2023-09-13,2023-09-15
46.0,2023-09-16 00:00:00,Sabrina,Retail (Consumer),2Gbps Building Roadshow,Sky Awani,2023-09-16,2023-09-16
47.0,2023-09-18 00:00:00,Esther,Public Sector,Emerging Need for Cloud Sovereignty,"Four Seasons, KL",2023-09-18,2023-09-18
48.0,2023-09-20 00:00:00,Esther,Enterprise,Invest Melaka Technology Update ,Ames Hotel Melaka,2023-09-20,2023-09-20
50.0,2023-09-27 00:00:00,Sabrina,Retail (SME),Time Digital Masterclass - Hybrid : Series 3,Avante,2023-09-27,2023-09-27
51.0,2023-09-27 00:00:00,Kenny,Wholesale (CI),Golf Par-Tee,Palm Garden Golf Resort,2023-09-27,2023-09-27
52.0,27 - 28 Sep,Kenny,Wholesale (ASEAN & Global),Submarine Network World,"Suntec, Singapore",2023-09-27,2023-09-28
53.0,29 Sep - 1 Oct,Sabrina,Retail (Consumer),Noizucon ,Kuala Lumpur Convention Centre,2023-09-29,2023-10-01
55.0,2023-10-05 00:00:00,Kenny,Wholesales / AIMS,Malaysia Cloud & Datacenter Convention ,Hilton KL,2023-10-05,2023-10-05
56.0,2023-10-08 00:00:00,Esther,Enterprise,Bursa Bull Charge 2023,Bursa,2023-10-08,2023-10-08
57.0,12 - 14 Oct,Esther,Public Sector,Smart Melaka International Conference & Expo (SMIC),MITC,2023-10-12,2023-10-14
58.0,2023-10-14 00:00:00,Kenny,Retail (Consumer),Customer Appreciation Day - Family Time,Kaleidoscope Residensi,2023-10-14,2023-10-14
59.0,16 - 19 Oct,Kenny,Wholesale (ASEAN & Global),Capacity Europe,"InterContinental London The 02, UK",2023-10-16,2023-10-19
60.0,19 - 22 Oct 2023,Kenny,Retail (Consumer),FTTR Launch,"IPC, Ikano",2023-10-19,2023-10-22
62.0,2023-10-26 00:00:00,Kenny,Retail (SME),Time Digital Masterclass - Virtual : Series 4,Plaza Mont Kiara (Studio),2023-10-26,2023-10-26
64.0,2023-10-28 00:00:00,Kenny,Retail (Consumer),Customer Appreciation Day - Family Time,Residensi Punchongmas,2023-10-28,2023-10-28
65.0,2023-10-28 00:00:00,Kenny,Retail (Consumer),Customer Appreciation Day - Family Time,Mizumi Residences,2023-10-28,2023-10-28
66.0,1 - 2 Nov,Kenny,AIMS,Peering Asia ,"Seoul, Korea",2023-11-01,2023-11-02
67.0,2023-11-05 00:00:00,Kenny,Corporate,PROGRAM PEMERKASAAN ORANG KURANG UPAYA (OKU) CELIK DIGITAL,"Dewan Merbau, Pusat Komuniti Pantai Eco Park, Lembah Pantai",2023-11-05,2023-11-05
68.0,2023-11-09 00:00:00,Kenny,AIMS,Movie Day with AIMS,GSC Starling Mall,2023-11-09,2023-11-09
69.0,15 - 16 Nov,Kenny,Wholesale/ASEAN & GLOBAL,Telecoms World Asia 2023,"Centara Grand & Bangkok Convention Centre, Thailand",2023-11-15,2023-11-16
70.0,2023-11-17 00:00:00,Kenny,Wholesale/ASEAN & GLOBAL,Golf Par-Tee & Customer Dayout + Appreciation Dinner,Raj Pruek Golf Club BBK ,2023-11-17,2023-11-17
71.0,2023-11-23 00:00:00,Jason,Retail (SME),Time Digital Masterclass - Virtual : Series 5,Plaza Mont Kiara (Studio),2023-11-23,2023-11-23
72.0,2023-11-28 00:00:00,Esther,Public Sector,Universiti Malaysia Terengganu - Signing Ceremony ,Duyung Marina Resort,2023-11-28,2023-11-28
73.0,2023-11-29 00:00:00,Kenny,Wholesale (Domestics),"WH (ASP, CI & OTT) Appreciation DInner","Skylounge 35, PJ",2023-11-29,2023-11-29
74.0,5 - 8 Dec ,Kenny,Corporate,Workshop with Department of Fisheries,AC Hotel by Marriott Kuantan ,2023-12-05,2023-12-08
75.0,12 -13 Dec,Kenny,Wholesale/ASEAN & GLOBAL,Capacity Asia,"Shangri-la, SG",2023-12-12,2023-12-13
76.0,2023-12-16 00:00:00,Jason,Retail (Consumer),Low Cost Building,Pangsapuri Sri Meranti,2023-12-16,2023-12-16
77.0,2023-12-17 00:00:00,Jason,Retail (Consumer),Low Cost Building,Pangsapuri Mentari,2023-12-17,2023-12-17
1.0,2023-01-16 00:00:00,Esther,Public Sector,Universiti Malaysia Terengganu - Contract Handover Ceremony,"Duyung Marina Resort, Kuala Terengganu",2023-01-16,2023-01-16
2.0,21 -24 Jan,Kenny,Wholesale / AIMS,Time x PTC' 24,"Hilton Hawaii Honolulu, US",2024-01-21,2024-01-24
3.0,2024-01-22 00:00:00,Kenny,Consumer,Dealer Appreciation Dinner,Pullman KLCC,2024-01-22,2024-01-22
4.0,2024-01-23 00:00:00,Esther,Enterprise & Public Sector,Chinese New Year Appreciation Dinner,"Pavilion Hotel, KL",2024-01-23,2024-01-23
5.0,2024-02-03 00:00:00,Kenny ,Business Operations,SI Appreciation Dinner (CNY),"Element Hotel, KL",2024-02-03,2024-02-03
6.0,6 - 8 Feb,Kenny,Wholesale,Time x Capacity Middle East 2024,"Grand Hyatt Dubai, UAE",2024-02-06,2024-02-08
7.0,2024-03-07 00:00:00,Kenny,Corporate - Regulatory,Engagement Day with DOF,"Hyatt Hotel, Kuantan",2024-03-07,2024-03-07
8.0,18 -26 March,Kenny,Consumer,Ramadhan Tactical Roadshow,6 x Bazaar Ramadhan at KV ,2024-03-18,2024-03-26
9.0,16 -19 April,Kenny,Corporate - Solar/Time-E,Planetary Heath Summit and 6th Annual Meeting 2024,"Sunway University, Malaysia",2024-04-16,2024-04-19
10.0,2024-04-22 00:00:00,Isra,Public Sector,Northern Raya Open House,"Menara Alor Star, Kedah",2024-04-22,2024-04-22
11.0,2024-04-24 00:00:00,Kenny,AIMS,Raya Open House,Havana Dining Kuala Lumpur,2024-04-24,2024-04-24
12.0,2024-04-29 00:00:00,Isra,Enterprise & Public Sector,Southern Raya Open House,"Grand Ballroom, Opero Hotel Johor Bahru",2024-04-29,2024-04-29
13.0,2024-05-07 00:00:00,Isra,Enterprise & Public Sector,Central Raya Open House,"Conference Hall 1,2&3 Kuala Lumpur Convention Centre",2024-05-07,2024-05-07
14.0,2024-05-09 00:00:00,Kenny,Wholesale,Raya Open House,"Banquet Hall, KLGCC",2024-05-09,2024-05-09
15.0,14 - 15 May ,Kenny,AIMS ,DCCI : Data Centre & Cloud Infra Summit,Kuala Lumpur Convention Centre,2024-05-14,2024-05-15
16.0,2024-05-29 00:00:00,Fairus,Enterprise ,Tax Law Discussions Impacting Property Developers and E-Invoicing Solutions Event by REHDA Institute and IFCA,"Wisma REHDA, Kelana Jaya",2024-05-29,2024-05-29
17.0,2024-05-30 00:00:00,Kenny,Wholesale,Networking Dinner x SG,PAULANER BRÃ„UHAUS SINGAPORE,2024-05-30,2024-05-30
18.0,2024-06-05 00:00:00,Kenny,AIMS,MYNOG 11,"CCEC, Bangsar",2024-06-05,2024-06-05
19.0,2024-06-12 00:00:00,Kenny,Corporate,Time 27th Annual General Meeting,Fully Virtual ,2024-06-12,2024-06-12
20.0,2024-06-26 00:00:00,Jason,SME,CTOS SME Biz Day 2024,"Grand Ballroom, Nexus Bangsar South",2024-06-26,2024-06-26
21.0,2024-06-27 00:00:00,Fairus,Public Sector,CXO Roundtable Discussion - State Government,"Courtyard by Mariott, Penang",2024-06-27,2024-06-27
22.0,2024-06-28 00:00:00,Fairus,Enterprise,Northern Fruit Fest,"Batu Cafe, Penang",2024-06-28,2024-06-28
23.0,8 - 12 July,Kenny,Wholesale,PHNOG,"New World Makati Hotel, Philippines",2024-07-08,2024-07-12
24.0,2024-07-16 00:00:00,Fairus,Public Sector,LTAT & TIME DR As A Service Launching Event,"Cyberview Resort, Cyberjaya",2024-07-16,2024-07-16
25.0,2024-07-22 00:00:00,Isra,AIMS,"Time Cloud & AIMS Launch @ Bangunan AIMS, KL","Bangunan AIMS, KL (Ex KWSP Office) & Menara AIMS",2024-07-22,2024-07-22
26.0,2024-07-25 00:00:00,Kenny,Wholesale,IDNOG 2024 ,"Jakarta, Indonesia",2024-07-25,2024-07-25
27.0,26 - 28 July,Mimi,Consumer,Megahome Southkey Johor,"MidValley Southkey, Johor",2024-07-26,2024-07-28
28.0,2024-08-07 00:00:00,Isra,Enterprise & Wholesale,Time to Ace | Golf Tournament 2024,KLGCC,2024-08-07,2024-08-07
29.0,23 - 25 Aug ,Mimi,Consumer,"Hyperlocal - Phase 2 , Bandar Seri Iskandar ",Bandar Seri Iskandar Perak,2024-08-23,2024-08-25
30.0,27 - 30 Aug,Kenny,Wholesale,BATIC 2024,Bali,2024-08-27,2024-08-30
31.0,2024-08-31 00:00:00,Kenny,Regulatory,Time x Hari Merdeka,Dataran Putrajaya,2024-08-31,2024-08-31
33.0,2 - 6 Sept,Kenny,Wholesale,ACC 2024,"Cebu, PH",2024-09-02,2024-09-06
34.0,7 Sept,Mimi,Consumer,Kabel Besar Day (In Building Activation) - Klang Valley,Klang Valley,2024-09-07,2024-09-07
35.0,11 Sept,Fairus,Enterprise & Public Sector,VMware Customer Conversion : Pathways to Progress with Time Cloud,"Grand Salon 1 & 2, Grand Hyatt",2024-09-11,2024-09-11
36.0,12 Sept,Fairus,Public Sector,CXO Roundtable Discussion - Sarawak State Gov,Sarawak,2024-09-12,2024-09-12
37.0,14 - 16 Sept,Mimi,Consumer,Megahome Ipoh,Ipoh Convention Centre (ICC),2024-09-14,2024-09-16
38.0,18 - 19 Sept,Fairus,Public Sector,ICT4U 2.0 Conferene,Park Royal Hotel Penang,2024-09-18,2024-09-19
39.0,24 Sept,Fairus,Enterprise,CXO Roundtable Discussion - BFSI,"Four Seasons Hotel, KL",2024-09-24,2024-09-24
40.0,25 & 26 Sept,Kenny,Wholesale,Submarine Network World (SG) ,Singapore,2024-09-25,2024-09-25
41.0,25 - 27 Sept,Fairus,Enterprise,Oil & Gas Asia 2024,Kuala Lumpur Convention Centre,2024-09-25,2024-09-27
32.0,1 Sept,Kenny,Wholesale,GLF Membership Renewal (Due date: 8 Oct 2024),-,2024-09-01,2024-09-01
44.0,8 - 10 Oct,Kenny,Subsea,APG O&MSC#17 Meeting,"ParkRoyal Hotel, Langkawi",2024-10-08,2024-10-10
42.0,9/10 Oct,Jason,SME,Time x Fortinet Physical Showcase (Location 1),TBC/Fortinet office,2024-10-09,2024-10-09
45.0,2024-10-10 00:00:00,Fairus,Enterprise,Bursa Bull Charge 2024,Bursa Malaysia,2024-10-10,2024-10-10
46.0,23/24 Oct,Jason,SME,Time x Fortinet Physical Showcase (Location 2),TBC Hotel/Zus coffee location,2024-10-23,2024-10-23
47.0,15 - 17 Oct,Kenny,Wholesale,Capacity Europe,"The O2, London",2024-10-15,2024-10-17
48.0,17 - 20 Oct,Mimi/Isra,Consumer,Kabel Besar Lebih Besar (Activations),"Town Park, MyTown",2024-10-17,2024-10-20
49.0,2024-10-20 00:00:00,Kenny,Wholesale,KHNOG-6,"Sunway Hotel, Phnom Penh, Cambodia",2024-10-20,2024-10-20
50.0,31 Oct - 3 Nov,Mimi,Consumer,Megahome Spice Penang,"Spice Arena, Penang",2024-10-31,2024-11-03
51.0,2 - 3 Nov,Mimi,Consumer ,Sneakerlah 2024,MITEC KL,2024-11-02,2024-11-03
52.0,6 - 7 Nov,Kenny,AIMS,Peering Asia 6.0,"Jakarta, Indonesia",2024-11-06,2024-11-07
53.0,2024-11-09 00:00:00,Mimi,Consumer,"Kabel Besar Day (WE - Day out, Office - Go Kart) ",Time HQ / Klang Valley,2024-11-09,2024-11-09
54.0,2024-11-09 00:00:00,Mimi,Consumer,Kabel Besar Day (In Building Activation) - Penang,TBC,2024-11-09,2024-11-09
55.0,12 - 13 Nov,Fairus,Enterprise,Banktech Asia 2024,Kuala Lumpur Convention Centre,2024-11-12,2024-11-13
56.0,Nov,Fairus + Jason,Enterprise & SME,TIME 3Cs Digitalisation Pulse Check - Hybrid,TBC,2024-11-22,2024-11-22
57.0,19 - 20 Nov,Kenny,Wholesale,TWA 2024 & Golf + Dinner,"Centara Grand & Bangkok Convention Centre CentralWorld, Bangkok",2024-11-19,2024-11-20
58.0,Nov,Kenny,Wholesale,KL Appreciation Dinner (Domestic & ASP),"Saujana Hotel, KL (TBC)",2024-11-22,2024-11-22
60.0,4 - 5 Dec,Kenny,Wholesale,ITW Asia 2024 (Formally known as Capacity Asia),Singapore,2024-12-04,2024-12-05
61.0,2025-01-01 00:00:00,Mimi,Consumer ,Kabel Besar Day (WE - Day out) ,Penang,2025-01-01,2025-01-01
62.0,19-22 Jan,Kenny,Wholesale,PTC 2025,"Honolulu, Hawaii",2024-01-19,2024-01-22
63.0,2025,Mimi,Consumer,Hyperlocal JB,JB,2025-10-22,2025-10-22
