Date,brand,category,speed,contract_option,retail_price,currency,one_time_fee
26/2/2024,Time,Fibre to the Home,500Mbps,24,139.00,MYR,0.00
4/3/2024,Time,Fibre to the Home,500Mbps,24,139.00,MYR,0.00
11/3/2024,Time,Fibre to the Home,500Mbps,24,139.00,MYR,0.00
18/3/2024,Time,Fibre to the Home,500Mbps,24,139.00,MYR,0.00
25/3/2024,Time,Fibre to the Home,500Mbps,24,139.00,MYR,0.00
1/4/2024,Time,Fibre to the Home,500Mbps,24,139.00,MYR,0.00
8/4/2024,Time,Fibre to the Home,500Mbps,24,139.00,MYR,0.00
15/4/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
22/4/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
29/4/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
6/5/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
13/5/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
20/5/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
27/5/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
3/6/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
10/6/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
17/6/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
24/6/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
1/7/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
8/7/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
15/7/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
22/7/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
29/7/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
5/8/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
12/8/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
19/8/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
26/8/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
2/9/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
9/9/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
16/9/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
23/9/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
30/9/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
7/10/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
14/10/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
21/10/2024,Time,Fibre to the Home,600Mbps,24,139.00,MYR,0.00
3/1/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
10/1/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
17/1/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
24/1/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
31/1/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
7/2/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
14/2/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
21/2/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
28/2/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
7/3/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
14/3/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
21/3/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
28/3/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
4/4/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
11/4/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
18/4/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
25/4/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
2/5/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
9/5/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
16/5/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
23/5/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
30/5/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
6/6/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
13/6/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
20/6/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
27/6/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
4/7/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
11/7/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
18/7/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
25/7/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
1/8/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
8/8/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
15/8/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
22/8/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
29/8/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
5/9/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
12/9/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
19/9/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
26/9/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
3/10/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
10/10/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
17/10/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
24/10/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
31/10/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
7/11/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
14/11/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
21/11/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
28/11/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
5/12/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
12/12/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
19/12/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
26/12/2022,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
2/1/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
9/1/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
16/1/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
23/1/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
30/1/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
6/2/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
13/2/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
20/2/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
27/2/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
6/3/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
13/3/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
20/3/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
27/3/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
3/4/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
10/4/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
17/4/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
24/4/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
1/5/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
8/5/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
15/5/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
22/5/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
29/5/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
5/6/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
12/6/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
19/6/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
26/6/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
3/7/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
10/7/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
17/7/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
24/7/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
31/7/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
7/8/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
14/8/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
21/8/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
28/8/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
4/9/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
11/9/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
18/9/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
25/9/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
2/10/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
9/10/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
16/10/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
23/10/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
30/10/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
6/11/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
13/11/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
20/11/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
27/11/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
4/12/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
11/12/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
18/12/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
25/12/2023,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
1/1/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
8/1/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
15/1/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
22/1/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
29/1/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
5/2/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
12/2/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
19/2/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
26/2/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
4/3/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
11/3/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
18/3/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
25/3/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
1/4/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
8/4/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
15/4/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
22/4/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
29/4/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
6/5/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
13/5/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
20/5/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
27/5/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
3/6/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
10/6/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
17/6/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
24/6/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
1/7/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
8/7/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
15/7/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
22/7/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
29/7/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
5/8/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
12/8/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
19/8/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
26/8/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
2/9/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
9/9/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
16/9/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
23/9/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
30/9/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
7/10/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
14/10/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
21/10/2024,Time,Fibre to the Home,1Gbps,24,199.00,MYR,0.00
9/10/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
16/10/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
23/10/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
30/10/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
6/11/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
13/11/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
20/11/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
27/11/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
4/12/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
11/12/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
18/12/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
25/12/2022,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
1/1/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
8/1/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
15/1/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
22/1/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
29/1/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
5/2/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
12/2/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
19/2/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
26/2/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
5/3/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
12/3/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
19/3/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
26/3/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
2/4/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
9/4/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
16/4/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
23/4/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
30/4/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
7/5/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
14/5/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
21/5/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
28/5/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
4/6/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
11/6/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
18/6/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
25/6/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
2/7/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
9/7/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
16/7/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
23/7/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
30/7/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
6/8/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
13/8/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
20/8/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
27/8/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
3/9/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
10/9/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
17/9/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
24/9/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
1/10/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
8/10/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
15/10/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
22/10/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
29/10/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
5/11/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
12/11/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
19/11/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
26/11/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
3/12/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
10/12/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
17/12/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
24/12/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
31/12/2023,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
7/1/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
14/1/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
21/1/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
28/1/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
4/2/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
11/2/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
18/2/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
25/2/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
3/3/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
10/3/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
17/3/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
24/3/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
31/3/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
7/4/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
14/4/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
21/4/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
28/4/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
5/5/2024,Time,Fibre to the Home,2Gbps,24,379.00,MYR,0.00
