date,brand,category,product,media_channel,geography,geography_breakdown,format,publisher,campaign,funnel_stage,spend,reach,impressions,currency_code
2023-02-06,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600.0,0,0,MYR
2023-02-13,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600.0,0,0,MYR
2023-02-20,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600.0,0,0,MYR
2023-02-27,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,26600.0,0,0,MYR
2023-03-06,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,7816.42,0,4428752,MYR
2023-03-06,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650.0,0,0,MYR
2023-03-06,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700.0,0,0,MYR
2023-03-13,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,13980.85,0,9582799,MYR
2023-03-13,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700.0,0,0,MYR
2023-03-13,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650.0,0,0,MYR
2023-03-20,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,13903.93,0,9286560,MYR
2023-03-20,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650.0,0,0,MYR
2023-03-20,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700.0,0,0,MYR
2023-03-27,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,Mix FM,CNY 2023,Awareness,41650.0,0,0,MYR
2023-03-27,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,REDI 98.8FM,CNY 2023,Awareness,5700.0,0,0,MYR
2023-03-27,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,12897.2,0,8288393,MYR
2023-04-03,Time,FTTH,500mbps,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Standard Native (Image),Yahoo,500Mbps at only RM99 for the first 6 months,Awareness,995.41,0,1209798,MYR
2023-07-03,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,14436.99,0,2223526,MYR
2023-07-03,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675.0,0,0,MYR
2023-07-10,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,11712.1,0,1792488,MYR
2023-07-10,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675.0,0,0,MYR
2023-07-10,Time,FTTO,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,TIME B2B Campaign,Awareness,9997.929741793274,0,387955,MYR
2023-07-17,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675.0,0,0,MYR
2023-07-17,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,6494.58,0,730371,MYR
2023-07-17,Time,FTTO,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,TIME B2B Campaign,Awareness,5002.070258206726,0,194098,MYR
2023-07-24,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,15675.0,0,0,MYR
2023-07-24,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,4872.72,0,581970,MYR
2023-07-31,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,12264.0,0,0,MYR
2023-07-31,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,10260.0,0,0,MYR
2023-07-31,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,6052.27,0,1429086,MYR
2023-08-07,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,10260.0,0,0,MYR
2023-08-07,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,4497.13,0,1042036,MYR
2023-08-07,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,12264.0,0,0,MYR
2023-08-14,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,10260.0,0,0,MYR
2023-08-14,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,12264.0,0,0,MYR
2023-08-14,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,6573.65,0,1794800,MYR
2023-08-21,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,6208.3,0,1697602,MYR
2023-08-21,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,12264.0,0,0,MYR
2023-08-21,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,10260.0,0,0,MYR
2023-08-28,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,After Hours Installation,Awareness,10260.0,0,0,MYR
2023-08-28,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH Brand Presence Sustenance,Awareness,1864.66,0,394011,MYR
2023-08-28,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,12264.0,0,0,MYR
2023-08-28,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,TIME B2C Campaign,Awareness,21372.962256635514,0,442674,MYR
2023-09-04,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,TIME B2C Campaign,Awareness,728.1332172034505,0,15081,MYR
2023-09-04,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,MY FM,After Hours Installation,Awareness,28950.0,0,0,MYR
2023-09-04,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,6570.0,0,0,MYR
2023-09-11,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,TIME B2C Campaign,Awareness,1207.1822047435762,0,25003,MYR
2023-09-11,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,MY FM,After Hours Installation,Awareness,28950.0,0,0,MYR
2023-09-11,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,6570.0,0,0,MYR
2023-09-11,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH After Hours Installation,Awareness,3533.02,0,7853164,MYR
2023-09-18,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH After Hours Installation,Awareness,3122.66,0,6481286,MYR
2023-09-18,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,MY FM,After Hours Installation,Awareness,28950.0,0,0,MYR
2023-09-18,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,6570.0,0,0,MYR
2023-09-18,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,TIME B2C Campaign,Awareness,8809.924285068206,0,182470,MYR
2023-09-25,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,MY FM,After Hours Installation,Awareness,28950.0,0,0,MYR
2023-09-25,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,TIME B2C Campaign,Awareness,2791.298036349253,0,57813,MYR
2023-09-25,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH After Hours Installation,Awareness,2762.68,0,4170875,MYR
2023-09-25,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,HITZ FM,After Hours Installation,Awareness,6570.0,0,0,MYR
2023-10-02,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH After Hours Installation,Awareness,1249.19,0,1657380,MYR
2023-10-09,Time,FTTO,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,Time B2B FTTO Oct,Awareness,10880.0,0,215260,MYR
2023-10-09,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH After Hours Installation,Awareness,501.48,0,736701,MYR
2023-10-16,Time,FTTR,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,9322.86684,339738,441006,MYR
2023-10-16,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH After Hours Installation,Awareness,1144.26,0,1047735,MYR
2023-10-23,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH After Hours Installation,Awareness,1144.58,0,859689,MYR
2023-10-23,Time,FTTR,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,16319.84746,404746,771989,MYR
2023-10-30,Time,FTTR,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,15699.47302,383652,742643,MYR
2023-10-30,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH After Hours Installation,Awareness,1155.02,0,956341,MYR
2023-11-06,Time,FTTR,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,14492.2099,367720,685535,MYR
2023-11-06,Time,FTTH,All Products,Digital,Malaysia,"Johor, Kuala Lumpur, Penang, Selangor",Yahoo Native (Image),Yahoo,TTDC FTTH After Hours Installation,Awareness,270.99,0,232895,MYR
2023-11-06,Time,FTTO,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Image,Newswav,Time B2B FTTO Nov,Awareness,12750.0,0,200043,MYR
2023-11-13,Time,FTTR,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,4518.97096,120711,213764,MYR
2023-11-20,Time,FTTR,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,11299.372280000001,342795,534502,MYR
2023-11-27,Time,FTTR,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor",Mobile Interstitial (Display),ADBRO,TIME Giga Speed Home,Awareness,9089.84062,288657,429983,MYR
2023-12-04,Time,FTTR,All Products,Digital,Malaysia,-,Article,"KL Gadget Guy, Zul Yusmar",TIME Dec23 B2C FTTR,Awareness,10795.0,633513,38520,MYR
2024-01-15,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5824.68734528704,0,222845,MYR
2024-01-22,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5806.913612895489,0,222165,MYR
2024-01-29,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,10778.35725202107,0,412366,MYR
2024-02-05,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5465.3181590349295,0,209096,MYR
2024-02-05,Time,FTTH,All Products,TV,Malaysia,Nationwide,TV Ad,Astro Channels,CNY 2024,Awareness,48750.0,0,0,MYR
2024-02-12,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5533.17199622385,0,211692,MYR
2024-02-12,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,3795.9726198420044,140315,145229,MYR
2024-02-12,Time,FTTH,All Products,TV,Malaysia,Nationwide,TV Ad,Astro Channels,CNY 2024,Awareness,48750.0,0,0,MYR
2024-02-19,Time,FTTH,All Products,Digital,Malaysia,"Kuala Lumpur, Selangor, Johor, Penang",Video,Newswav,TIME B2C CNY 2024,Awareness,5295.579014695617,0,202602,MYR
2024-02-19,Time,FTTH,All Products,TV,Malaysia,Nationwide,TV Ad,Astro Channels,CNY 2024,Awareness,48750.0,0,0,MYR
2024-02-26,Time,FTTH,All Products,TV,Malaysia,Nationwide,TV Ad,Astro Channels,CNY 2024,Awareness,48750.0,0,0,MYR
2024-03-04,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,MIX FM,CNY 2024,Awareness,1250.0,0,0,MYR
2024-03-11,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,MIX FM,CNY 2024,Awareness,1250.0,0,0,MYR
2024-03-18,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,MIX FM,CNY 2024,Awareness,1250.0,0,0,MYR
2024-03-25,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,MIX FM,CNY 2024,Awareness,1250.0,0,0,MYR
2024-04-29,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,19740.0,0,0,MYR
2024-04-29,Time,FTTH,All Products,Digital,Malaysia,-,Article,Newswav,Time B2C Raya2024,Awareness,10000.0,209701,10901,MYR
2024-05-06,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,38310.0,0,0,MYR
2024-05-06,Time,FTTH,All Products,Digital,Malaysia,-,Social Media Posting,"Newswav, Siakap Keli Press",Time B2C Raya2024,Awareness,10000.0,286874,0,MYR
2024-05-13,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,38310.0,0,0,MYR
2024-05-20,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,38310.0,0,0,MYR
2024-05-27,Time,FTTH,All Products,Radio,Malaysia,Nationwide,Radio Ad,ERA FM,Network Superiority,Awareness,38310.0,0,0,MYR
